date,item,qty,rate,amount
27/11/2025,RICE NOORJAHAN,15.0,40.0,600.0
27/11/2025,SAFFOLA OATS 1KG,1.0,220.0,220.0
27/11/2025,ONION,1.0,26.0,26.0
27/11/2025,VELLAM SMALL,0.5,54.0,27.0
27/11/2025,AASHIRVAD AATA 2KG,1.0,135.0,135.0
27/11/2025,SUGAR,2.0,40.0,80.0
27/11/2025,PULY 1ST,0.25,230.0,57.0
27/11/2025,SOYABEAN MINI,0.25,100.0,25.0
27/11/2025,SOOJI RAVA,1.0,48.0,48.0
27/11/2025,CHICKEN MASALA PDR 100GM,1.0,80.0,80.0
27/11/2025,SAMBAR PDR 100GM BRAHMINS,1.0,52.0,52.0
27/11/2025,ACHAPPAM,1.0,45.0,45.0
27/11/2025,VILAKKU THIRI DEEPAM SMALL,1.0,20.0,20.0
27/11/2025,HORLICKS BISCUIT,1.0,10.0,10.0
27/11/2025,MARIEGOLD 68GM,1.0,9.0,9.0
27/11/2025,MILMA MILK,2.0,28.0,56.0
27/11/2025,WHEEL L/MB&JAS PDR 500GM,1.0,38.0,38.0
27/11/2025,DR WASH HNDWSH,1.0,39.0,39.0
27/11/2025,NAMBOOTHIRI PASTE 45GM,1.0,20.0,20.0
27/11/2025,EXO SOAP RS5,3.0,5.0,15.0
27/11/2025,MAIDA LIBERTY,0.5,46.0,23.0
